PRODUCT_ID,PRODUCT_NAME,SUMMARY,PRICE,CATEGORY_IDS,IMAGE_URL,STYLE,SIZE,SwatchColors,BaseProduct
300442975,Anzere Pant Women floging pink XS,,113.36,200300|snow|DC,/medias/?context=bWFzdGVyfGltYWdlc3wzNzc2fGltYWdlL2pwZWd8YVcxaFoyVnpMMmd5Tnk5b1lXSXZPRGM1TmpnMU5qQXlOVEV4T0M1cWNHY3xmNDllMTUxOTliZGE3MjE2OTE0ZmEwNWE1YWNjOGNkNjMwYzg1NGRmZGM2NWQxOTZiMDI3NGVlNzZhOTVkOGY5,,,,100746
64389_black+white_marble,The Vega Women black/white marble,<p> Flashy stretch band watch!,64.76,370700|Nixon,/medias/?context=bWFzdGVyfGltYWdlc3w0MzA2fGltYWdlL2pwZWd8YVcxaFoyVnpMMmc1TXk5b1ptVXZPRGM1TmpnMU5qWTRNRFEzT0M1cWNHY3wxZTI2N2RjNTZjNjQ0ZDFlODU0ZDMzY2ExMDQ2N2Q2NWE3N2JiYWY5MTM0Y2YxYTE2NGJmNzg3MWIyYWNjNzBk,black+white,marble,,64389
115195_shocking_pink,The Dial Women shocking pink,<p> The Nixon The Dial watch is every girl's dream!,56.66,370700|Nixon,/medias/?context=bWFzdGVyfGltYWdlc3w1Mjk0fGltYWdlL2pwZWd8YVcxaFoyVnpMMmczWlM5b1lXRXZPRGM1TmpnMU56QXdPREUxT0M1cWNHY3xjMzRlMGQ3OTRhZmI1NjJkODBiYTk4NTk4ZTgyMThmZjVhN2VlMGUzZDZhOGE3MmVjN2Y5YjlkZTRkM2Y3MDA1,shocking,pink,,115195
111114_black,Biarritz Women black,<p> Stylish watch with cool Roxy design!,80.96,370700|Roxy,/medias/?context=bWFzdGVyfGltYWdlc3w0MzgyfGltYWdlL2pwZWd8YVcxaFoyVnpMMmcwWlM5b05HTXZPRGM1TmpnMU56TXpOVGd6T0M1cWNHY3w3NmFlYjQxMjJiYzUxZTNmYWM3YTkzNGQzOWFlYmFlY2VlMDY3MGI3YTVlMDY2ZDg1YmQ3M2E4MzY3MzRjOTEz,black,,,111114
56802_dark_wood,The Chalet Women dark wood,<p> Is it a bracelet or a watch?,202.46,370700|Nixon,/medias/?context=bWFzdGVyfGltYWdlc3w0MzY4fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhsTkM5b09XSXZPRGM1TmpnMU56WTJNelV4T0M1cWNHY3w3NjA2ZTBlMDEyN2Q5YmM0ZGMwNmNhOTNjN2M4MWI5NGFhZjE1ZTYzOTM5ZmE3MTkzZTI2Y2M5ZmY5MjY1YTRj,dark,wood,,56802
94063_matte_black+gold,The 51-30 matte black/gold,<p> The 51-30 by Nixon is a sporty watch for men and moreover for real water sports men!,404.96,340000|Nixon,/medias/?context=bWFzdGVyfGltYWdlc3w0OTU1fGltYWdlL2pwZWd8YVcxaFoyVnpMMmczTmk5b01HVXZPRGM1TmpnMU9EWTBOalUxT0M1cWNHY3xkNDBhZmMyYjRjMTJhNDMzZTBlYzhiODBjZmNkNjA2ZjMxMTliM2MxYTQxMTc3MzAwMzk3ZmNiYjAxOGUyMTVl,matte,black+gold,,94063
74818_sky_blue,The Rubber Re-Run sky blue,"<p> With the Rubber Re-Run from the new collection, Nixon proofs, that digital can be noble as well!",80.96,340000|Nixon,/medias/?context=bWFzdGVyfGltYWdlc3w0Nzk0fGltYWdlL2pwZWd8YVcxaFoyVnpMMmd4Wmk5b05ERXZPRGM1TmpnMU9EazNOREl6T0M1cWNHY3xjOTk4ODVmY2RlMWIyODA5Nzc1NjJiOTBmMjUyNjY3MjEyZGU3NDczMDk2MjJmOTE2YjgwMGQ5NjYxZWZhNzk1,sky,blue,,74818
300555911,The Player matte black/matte gunmeta Uni,,210.56,340000|Nixon,/medias/?context=bWFzdGVyfGltYWdlc3w0MzkzfGltYWdlL2pwZWd8YVcxaFoyVnpMMmd6Tmk5b05HRXZPRGM1TmpnMU9UTXdNVGt4T0M1cWNHY3w1ZGYwNWRjMDRkNDcxODZjNDViYTdhMmU3MjkxZDZlNWQ1YmNhYmE5YjdjNzhkMjUxNWY1MGI5NDVmOGU1NjJj,,,,115202
74825_gunship,The Sentry gunship,<p> Guards you from boredom.,129.56,340000|Nixon,/medias/?context=bWFzdGVyfGltYWdlc3w0Mjg4fGltYWdlL2pwZWd8YVcxaFoyVnpMMmhrTUM5b1lqZ3ZPRGM1TmpnMU9UWXlPVFU1T0M1cWNHY3xiYWJkNGE3NmI1OTgyMjg1ZGIxNjE4M2NhZmVlZjA0ZGY2ZGMxYzQzNmI0NTI5MTk2NDU1OTAwMGIyYzE3Y2Q1,gunship,,,74825
300047289,The Rotolog all black/white Uni,,226.76,340000|Nixon,/medias/?context=bWFzdGVyfGltYWdlc3wzOTQ2fGltYWdlL2pwZWd8YVcxaFoyVnpMMmd6WWk5b05qa3ZPRGM1TmpnMU9UazFOekkzT0M1cWNHY3w0NWJmYTg5YTk5ZTFiN2M1ZDdmZjBmMDQ0NTRiNWFmNzQ3M2E0MGU2ZjYxMzVkNmYzYmQ4NTAzNTVhZDZjODhi,,,,36265
